"Vendor Id","Vendor Name"
"zcrm_464730000001265045","Audax Energia S.L"
"zcrm_464730000003831452","proveedor"
"zcrm_464730000004277046","AURA  ENERGIA SL"
"zcrm_464730000004305001","FENIE"
"zcrm_464730000004305003","ARACAN"
"zcrm_464730000004305007","ALCANZIA"
"zcrm_464730000004305011","UNIELETRICA"
"zcrm_464730000004305013","DREUE"
"zcrm_464730000004305015","AXPO"
"zcrm_464730000004305017","RESPIRA ENERGIA"
"zcrm_464730000004305019","SUNAIRONE"
"zcrm_464730000004613007","Energia Naranja S.L"
